url, code, kiname, img, attach, Size ( Dimension), Tolerance, T.C, Voltage, Cap. Value, Packing, DC bias，AC voltage，TCC，ESR & |Z|
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402BRNPO9BN1R0AC0402BRNPO9BN1R00402CG1R0B9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402BRNPO9BN1R0AC0402BRNPO9BN1R00402CG1R0B9B200,0402(1005),±0.1pF,NP0,50 V,1,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402BRNPO9BN1R2AC0402BRNPO9BN1R20402CG1R2B9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402BRNPO9BN1R2AC0402BRNPO9BN1R20402CG1R2B9B200,0402(1005),±0.1pF,NP0,50 V,1.2,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402BRNPO9BN1R5AC0402BRNPO9BN1R50402CG1R5B9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402BRNPO9BN1R5AC0402BRNPO9BN1R50402CG1R5B9B200,0402(1005),±0.1pF,NP0,50 V,1.5,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402BRNPO9BN2R4AC0402BRNPO9BN2R40402CG2R4B9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402BRNPO9BN2R4AC0402BRNPO9BN2R40402CG2R4B9B200,0402(1005),±0.1pF,NP0,50 V,2.4,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402BRNPO9BN3R9AC0402BRNPO9BN3R90402CG3R9B9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402BRNPO9BN3R9AC0402BRNPO9BN3R90402CG3R9B9B200,0402(1005),±0.1pF,NP0,50 V,3.9,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402BRNPO9BN8R2AC0402BRNPO9BN8R20402CG8R2B9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402BRNPO9BN8R2AC0402BRNPO9BN8R20402CG8R2B9B200,0402(1005),±0.1pF,NP0,50 V,8.2,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402BRNPO9BNR50AC0402BRNPO9BNR500402CGR50B9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402BRNPO9BNR50AC0402BRNPO9BNR500402CGR50B9B200,0402(1005),±0.1pF,NP0,50 V,0.5,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN1R0AC0402CRNPO9BN1R00402CG1R0C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN1R0AC0402CRNPO9BN1R00402CG1R0C9B200,0402(1005),±0.25pF,NP0,50 V,1,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN1R2AC0402CRNPO9BN1R20402CG1R2C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN1R2AC0402CRNPO9BN1R20402CG1R2C9B200,0402(1005),±0.25pF,NP0,50 V,1.2,7" Paper,
http://www.yageo.com/NewPortal/_cn/search/search-1-1.jsp,AC0402CRNPO9BN1R5AC0402CRNPO9BN1R50402CG1R5C9B200,,,http://www.yageo.com/NewPortal/_cn/search/productDocs.jsp?YageoPartNumber=AC0402CRNPO9BN1R5AC0402CRNPO9BN1R50402CG1R5C9B200,0402(1005),±0.25pF,NP0,50 V,1.5,7" Paper,
