Parts,Datasheet,Catalog Parts,series,Spice,Package,Package Length (mm),Package Width (mm),Package Thickness (mm),VR [Max] (V),IF(AV) [Max] (mA),IFSM [Max] (A),VF [Typ] (V),VF [Max] (V),IR [Typ] (uA),IR [Max] (uA),Ct [Typ] (pF),trr [Typ] (ns),Tj [Max] (C),Tstg (C),RoHS compliant *1,REACH compliant *2,Halogen Free
DB2130200L,http://www.semicon.panasonic.co.jp/ds4/DB21302_E.pdf,DB21302,Schottky barrier,Available,SMini2-F4-B-B,2.5,1.25,0.55,30,1000,20,-,0.38,-,1200,48,18,125,-55 to +125,Compliant,SVHC not included,Yes
DB2130300L,http://www.semicon.panasonic.co.jp/ds4/DB21303_E.pdf,DB21303,Schottky Barrier,Available,SMini2-F4-B-B,2.5,1.25,0.55,30,1000,20,-,0.49,-,40,33,11,125,-55 to +125,Compliant,SVHC not included,Yes
DB2132000L,http://www.semicon.panasonic.co.jp/ds4/DB21320_E.pdf,DB21320,Schottky barrier,Available,SMini2-F4-B-B,2.5,1.25,0.55,30,1500,20,-,0.46,-,100,48,16,125,-55 to +125,Compliant,SVHC not included,Yes
DB2141200L,http://www.semicon.panasonic.co.jp/ds4/DB21412_E.pdf,DB21412,Schottky barrier,Available,SMini2-F4-B-B,2.5,1.25,0.55,40,1500,30,0.41,0.48,25,150,43,12,150,-55 to +150,Compliant,SVHC not included,Yes
DB2141300L,http://www.semicon.panasonic.co.jp/ds4/DB21413_E.pdf,DB21413,Schottky barrier,Available,SMini2-F4-B-B,2.5,1.25,0.55,40,2000,30,0.46,0.53,25,150,43,12,150,-55 to +150,Compliant,SVHC not included,Yes
DB2230400L,http://www.semicon.panasonic.co.jp/ds4/DB22304_E.pdf,DB22304,Schottky barrier,Available,Mini2-F4-B,3.5,1.6,0.8,30,1000,30,-,0.53,-,30,59,20,150,-55 to +150,Compliant,SVHC not included,Yes
DB2230600L,http://www.semicon.panasonic.co.jp/ds4/DB22306_E.pdf,DB22306,Schottky barrier,Available,Mini2-F4-B,3.5,1.6,0.8,30,2000,30,-,0.45,-,500,43,13,125,-55 to +125,Compliant,SVHC not included,Yes
DB2232000L,http://www.semicon.panasonic.co.jp/ds4/DB22320_E.pdf,DB22320,Schottky barrier,Available,Mini2-F4-B,3.5,1.6,0.8,30,1500,30,-,0.46,-,100,48,16,125,-55 to +125,Compliant,SVHC not included,Yes
DB2430100L,http://www.semicon.panasonic.co.jp/ds4/DB24301_E.pdf,DB24301,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,30,2000,30,-,0.39,-,1300,61,21,150,-55 to +150,Compliant,SVHC not included,Yes
DB2430500L,http://www.semicon.panasonic.co.jp/ds4/DB24305_E.pdf,DB24305,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,30,3000,30,-,0.45,-,300,74,23,150,-55 to +150,Compliant,SVHC not included,Yes
DB2430700L,http://www.semicon.panasonic.co.jp/ds4/DB24307_E.pdf,DB24307,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,30,3000,60,-,0.37,-,2000,111,35,125,-55 to +125,Compliant,SVHC not included,Yes
DB2431200L,http://www.semicon.panasonic.co.jp/ds4/DB24312_E.pdf,DB24312,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,30,5000,30,-,0.51,-,300,74,23,150,-55 to +150,Compliant,SVHC not included,Yes
DB2440100L,http://www.semicon.panasonic.co.jp/ds4/DB24401_E.pdf,DB24401,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,40,1000,30,-,0.39,-,250,50,15,150,-55 to +150,Compliant,SVHC not included,Yes
DB2440200L,http://www.semicon.panasonic.co.jp/ds4/DB24402_E.pdf,DB24402,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,40,2000,30,-,0.47,-,250,50,15,150,-55 to +150,Compliant,SVHC not included,Yes
DB2440300L,http://www.semicon.panasonic.co.jp/ds4/DB24403_E.pdf,DB24403,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,40,3000,30,-,0.54,-,250,50,15,150,-55 to +150,Compliant,SVHC not included,Yes
DB2440400L,http://www.semicon.panasonic.co.jp/ds4/DB24404_E.pdf,DB24404,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,40,3000,60,-,0.53,-,50,85,30,125,-55 to +125,Compliant,SVHC not included,Yes
DB2440500L,http://www.semicon.panasonic.co.jp/ds4/DB24405_E.pdf,DB24405,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,40,3000,30,-,0.44,-,2400,57,18,150,-55 to +150,Compliant,SVHC not included,Yes
DB2441600L,http://www.semicon.panasonic.co.jp/ds4/DB24416_E.pdf,DB24416,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,40,3000,50,0.4,0.45,60,300,95,30,125,-55 to +125,Compliant,SVHC not included,Yes
DB2441700L,http://www.semicon.panasonic.co.jp/ds4/DB24417_E.pdf,DB24417,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,40,5000,50,0.47,0.54,60,300,95,30,125,-55 to +125,Compliant,SVHC not included,Yes
DB2460100L,http://www.semicon.panasonic.co.jp/ds4/DB24601_E.pdf,DB24601,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,60,3000,50,-,0.65,-,150,65,21,150,-55 to +150,Compliant,SVHC not included,Yes
DB2460200L,http://www.semicon.panasonic.co.jp/ds4/DB24602_E.pdf,DB24602,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,60,3000,50,-,0.6,-,150,106,36,125,-55 to +125,Compliant,SVHC not included,Yes
DB2460500L,http://www.semicon.panasonic.co.jp/ds4/DB24605_E.pdf,DB24605,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,60,1000,30,-,0.45,-,350,40,12,150,-55 to +150,Compliant,SVHC not included,Yes
DB2460600L,http://www.semicon.panasonic.co.jp/ds4/DB24606_E.pdf,DB24606,Schottky barrier,Available,TMiniP2-F2-B,4.7,2.4,0.85,60,3000,30,-,0.7,-,350,40,12,150,-55 to +150,Compliant,SVHC not included,Yes
DB2631100L,http://www.semicon.panasonic.co.jp/ds4/DB26311_E.pdf,DB26311,Schottky barrier,Available,ML2-N3-B,1,0.6,0.39,30,200,1,-,0.56,-,5,6,2.2,125,-55 to +125,Compliant,SVHC not included,Yes
DB2631400L,http://www.semicon.panasonic.co.jp/ds4/DB26314_E.pdf,DB26314,Schottky barrier,Available,ML2-N3-B,1,0.6,0.39,30,30,-,-,1,-,0.3,1.5,1,125,-55 to +125,Compliant,SVHC not included,Yes
DB2640600L,http://www.semicon.panasonic.co.jp/ds4/DB26406_E.pdf,DB26406,Schottky barrier,Available,ML2-N3-B,1,0.6,0.39,40,100,1,-,0.6,-,5,2.2,0.9,125,-55 to +125,Compliant,SVHC not included,Yes
DB2730800L,http://www.semicon.panasonic.co.jp/ds4/DB27308_E.pdf,DB27308,Schottky barrier,Available,SSSMini2-F4-B,1.4,0.6,0.52,30,100,1,-,0.42,-,120,2.9,1.3,125,-55 to +125,Compliant,SVHC not included,Yes
DB2730900L,http://www.semicon.panasonic.co.jp/ds4/DB27309_E.pdf,DB27309,Schottky barrier,Available,SSSMini2-F4-B,1.4,0.6,0.52,30,100,1,-,0.58,-,2,3,1.3,125,-55 to +125,Compliant,SVHC not included,Yes
DB2731400L,http://www.semicon.panasonic.co.jp/ds4/DB27314_E.pdf,DB27314,Schottky barrier,Available,SSSMini2-F4-B,1.4,0.6,0.52,30,30,-,-,1,-,0.3,1.5,1,125,-55 to +125,Compliant,SVHC not included,Yes
DB2731600L,http://www.semicon.panasonic.co.jp/ds4/DB27316_E.pdf,DB27316,Schottky barrier,Available,SSSMini2-F4-B,1.4,0.6,0.52,30,100,1,-,0.55,-,15,2,0.8,125,-55 to +125,Compliant,SVHC not included,Yes
